SalePrice,OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,TotalBsmtSF,1stFlrSF,BsmtQual,KitchenQual,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,MasVnrArea,GarageYrBlt,Fireplaces,GarageFinish,GarageType,HeatingQC,BsmtFinSF1,Foundation,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,HalfBath,BsmtExposure,LotArea,LotShape,CentralAir,GarageCond,Electrical,PavedDrive,BsmtFullBath,RoofStyle,BsmtUnfSF,SaleCondition,Neighborhood,GarageQual,HouseStyle,BedroomAbvGr,MSZoning
139000,5,1339,1,TA,294,1029,1339,TA,TA,1,6,1958,1965,0.0,1958.0,0,Unf,Attchd,TA,504,CBlock,70.0,0,0,0,0,No,7560,Reg,Y,TA,SBrkr,Y,0,Hip,525,Abnorml,NAmes,TA,1Story,3,RL
325300,8,2376,3,Gd,853,1158,1158,Ex,Gd,3,9,2005,2006,380.0,2005.0,1,RFn,BuiltIn,Ex,0,PConc,101.0,240,1218,154,1,Av,14215,IR1,Y,TA,SBrkr,Y,0,Gable,1158,Partial,NridgHt,TA,2Story,4,RL
139400,7,1108,1,TA,280,637,1108,TA,Gd,1,6,1930,1950,0.0,1930.0,1,Unf,Attchd,Ex,0,PConc,57.0,0,0,0,0,No,7449,Reg,Y,TA,FuseF,N,0,Gable,637,Normal,IDOTRR,TA,1.5Unf,3,RM
230000,8,1795,2,Gd,534,1777,1795,Gd,Gd,2,7,2002,2002,281.0,2002.0,1,RFn,Attchd,Ex,0,PConc,75.0,171,0,159,0,No,9742,Reg,Y,TA,SBrkr,Y,0,Hip,1777,Normal,CollgCr,TA,1Story,3,RL
129900,5,1060,2,TA,572,1040,1060,Gd,TA,1,6,1976,1976,0.0,1976.0,1,Unf,Attchd,TA,840,PConc,44.0,100,0,110,0,No,4224,Reg,Y,TA,SBrkr,Y,1,Gable,200,Normal,MeadowV,TA,1Story,3,RM
154000,5,1060,1,TA,270,1060,1060,TA,Gd,1,6,1968,2001,0.0,1968.0,1,Unf,Attchd,Ex,188,CBlock,,406,0,90,0,Mn,8246,IR1,Y,TA,SBrkr,Y,1,Gable,204,Normal,Sawyer,TA,1Story,3,RL
256300,8,1600,3,Gd,890,1566,1600,Gd,Gd,2,7,2007,2007,640.0,2007.0,1,RFn,Attchd,Ex,0,PConc,110.0,0,0,56,0,No,14230,Reg,Y,TA,SBrkr,Y,0,Gable,1566,Normal,NridgHt,TA,1Story,3,RL
134800,5,900,2,TA,576,900,900,TA,Gd,1,5,1951,2000,0.0,2005.0,0,Unf,Detchd,TA,234,CBlock,60.0,222,0,32,0,Mn,7200,Reg,Y,TA,SBrkr,Y,0,Gable,180,Normal,NAmes,TA,1Story,3,RL
306000,8,1704,3,Gd,772,1704,1704,Ex,Gd,2,7,2007,2008,200.0,2008.0,1,RFn,Attchd,Ex,1218,PConc,98.0,0,0,50,0,No,11478,Reg,Y,TA,SBrkr,Y,1,Gable,486,Normal,NridgHt,TA,1Story,3,RL
207500,5,1600,1,TA,319,1484,1600,TA,TA,1,6,1957,1997,0.0,1957.0,2,RFn,Attchd,TA,1277,CBlock,47.0,288,0,258,0,Gd,16321,IR1,Y,TA,SBrkr,Y,1,Gable,207,Normal,NAmes,TA,1Story,2,RL
68500,4,520,1,TA,240,520,520,TA,Fa,1,4,1927,1950,0.0,1920.0,0,Unf,Detchd,Fa,0,BrkTil,60.0,49,0,0,0,No,6324,IR1,N,TA,SBrkr,Y,0,Gable,520,Normal,BrkSide,Fa,1Story,1,RM
40000,4,1317,1,TA,250,649,649,TA,TA,1,6,1920,1950,0.0,1920.0,0,Unf,Detchd,TA,0,BrkTil,50.0,0,668,54,0,No,8500,Reg,N,Fa,SBrkr,N,0,Gambrel,649,Normal,IDOTRR,TA,2Story,3,C (all)
149350,5,1228,1,TA,271,1228,1228,TA,Gd,1,6,1966,2006,0.0,1966.0,0,Unf,Attchd,Gd,0,CBlock,,0,0,65,1,No,8544,IR1,Y,TA,SBrkr,Y,0,Gable,1228,Normal,Sawyer,TA,1Story,3,RL
179900,8,1234,2,Gd,484,1234,1234,Ex,Gd,2,7,2007,2007,0.0,2007.0,0,RFn,Attchd,Ex,0,PConc,85.0,0,0,30,0,Av,11049,Reg,Y,TA,SBrkr,Y,0,Gable,1234,Normal,CollgCr,TA,1Story,3,RL
165500,5,1700,2,TA,447,1398,1700,TA,Gd,1,6,1959,1959,0.0,1959.0,1,RFn,Attchd,Gd,1018,CBlock,70.0,0,0,38,1,No,10552,IR1,Y,TA,SBrkr,Y,0,Hip,380,Normal,NAmes,TA,1Story,4,RL
277500,9,1561,2,Ex,556,1561,1561,Ex,Ex,2,6,2005,2005,246.0,2005.0,1,Fin,Attchd,Ex,1153,PConc,60.0,203,0,47,0,No,7313,Reg,Y,TA,SBrkr,Y,1,Hip,408,Normal,NridgHt,TA,1Story,2,RL
309000,8,2452,3,Gd,691,1117,1132,Ex,Gd,3,9,2004,2005,132.0,2004.0,1,Fin,BuiltIn,Ex,0,PConc,108.0,113,1320,32,1,Av,13418,Reg,Y,TA,SBrkr,Y,0,Gable,1117,Normal,NridgHt,TA,2Story,4,RL
145000,5,1097,2,TA,672,1097,1097,Gd,TA,1,6,1994,1995,0.0,1995.0,0,Unf,Attchd,Ex,0,PConc,112.0,392,0,64,1,No,10859,Reg,Y,TA,SBrkr,Y,0,Gable,1097,Normal,CollgCr,TA,1Story,3,RL
153000,5,1297,2,TA,498,1297,1297,TA,TA,1,5,1954,1990,650.0,1954.0,1,Fin,Attchd,Gd,1213,CBlock,74.0,0,0,0,0,No,8532,Reg,Y,TA,SBrkr,Y,0,Hip,84,Normal,NAmes,TA,1Story,3,RL
109000,5,1057,1,TA,246,1057,1057,TA,Gd,1,5,1953,2007,0.0,1953.0,0,Unf,Detchd,TA,731,CBlock,68.0,0,0,52,0,No,7922,Reg,Y,TA,SBrkr,Y,1,Gable,326,Abnorml,NAmes,TA,1Story,3,RL
82000,4,1152,0,TA,0,0,1152,,Fa,2,6,1955,1955,0.0,,0,,,TA,0,PConc,65.0,0,0,0,0,,6040,Reg,N,,FuseP,N,0,Gable,0,AdjLand,Edwards,,1Story,2,RL
160000,6,1324,2,TA,440,1088,1324,TA,TA,2,6,1965,1965,101.0,1965.0,1,RFn,Attchd,Ex,643,CBlock,84.0,0,0,138,0,No,8658,Reg,Y,TA,SBrkr,Y,0,Gable,445,Abnorml,NAmes,TA,1Story,3,RL
170000,5,1328,1,TA,308,1350,1328,TA,TA,1,5,1959,1959,0.0,1959.0,2,RFn,Attchd,Gd,967,CBlock,115.0,0,0,104,1,Gd,16905,Reg,Y,TA,SBrkr,P,0,Gable,383,Normal,Timber,TA,1Story,2,RL
144000,5,884,2,TA,504,840,884,Gd,Gd,1,5,1983,1983,0.0,1983.0,0,RFn,Attchd,Gd,747,CBlock,,240,0,0,0,Av,9180,IR1,Y,Gd,SBrkr,Y,1,Gable,0,Normal,SawyerW,TA,SFoyer,2,RL
130250,5,938,1,TA,308,938,938,Gd,TA,1,5,1975,1980,0.0,1977.0,0,Unf,Detchd,TA,280,CBlock,,145,0,0,0,Av,9200,IR1,Y,TA,SBrkr,Y,1,Hip,167,Normal,CollgCr,TA,1Story,3,RL
141000,5,1150,1,TA,300,1150,1150,TA,TA,1,6,1959,1959,0.0,1959.0,0,RFn,Attchd,Ex,179,CBlock,70.0,0,0,0,0,No,7945,Reg,Y,TA,FuseA,Y,1,Gable,465,Normal,NAmes,TA,1Story,3,RL
319900,9,1752,2,Ex,576,1752,1752,Ex,Ex,2,6,2005,2005,412.0,2005.0,1,RFn,Attchd,Ex,456,PConc,61.0,196,0,82,0,No,7658,Reg,Y,TA,SBrkr,Y,1,Hip,1296,Normal,NridgHt,TA,1Story,2,RL
239686,7,2149,2,Gd,670,1434,1518,Ex,Gd,1,6,2003,2003,0.0,2003.0,1,RFn,Attchd,Ex,1351,PConc,48.0,168,631,43,1,No,12822,IR1,Y,TA,SBrkr,Y,1,Gable,83,Abnorml,Mitchel,TA,1.5Fin,1,RL
249700,8,1656,3,Gd,826,1656,1656,Gd,Gd,2,7,2006,2006,0.0,2006.0,0,RFn,Attchd,Ex,24,PConc,84.0,0,0,146,0,Av,11096,Reg,Y,TA,SBrkr,Y,0,Gable,1632,Normal,Somerst,TA,1Story,3,FV
113000,4,1452,0,TA,0,736,736,TA,TA,2,8,1920,2008,0.0,,0,,,Gd,0,BrkTil,33.0,0,716,0,0,No,4456,Reg,Y,,SBrkr,N,0,Gable,736,Partial,OldTown,,2Story,2,RM
127000,5,955,1,TA,386,955,955,TA,TA,1,6,1966,1966,0.0,1966.0,0,Unf,Attchd,Ex,763,CBlock,66.0,0,0,0,0,No,7742,Reg,Y,TA,SBrkr,Y,1,Gable,192,Normal,Sawyer,TA,1Story,3,RL
177000,6,1470,2,TA,388,794,794,Gd,TA,2,6,1997,1997,0.0,1997.0,0,Fin,Attchd,Gd,182,PConc,,0,676,75,0,Av,13869,IR2,Y,TA,SBrkr,Y,0,Gable,612,Normal,Gilbert,TA,2Story,3,RL
114500,6,1176,2,TA,528,816,816,TA,TA,1,6,1934,1950,0.0,1985.0,1,Unf,Detchd,TA,0,PConc,52.0,112,0,0,0,No,6240,Reg,Y,TA,SBrkr,Y,0,Gable,816,Normal,BrkSide,TA,1.5Fin,3,RM
110000,5,816,2,Fa,516,816,816,Gd,TA,1,5,1963,1963,0.0,1963.0,0,Unf,CarPort,TA,104,CBlock,110.0,106,0,0,0,Gd,8472,IR2,N,TA,SBrkr,Y,1,Gable,0,Normal,IDOTRR,TA,1Story,2,RM
385000,9,1842,3,Gd,894,1842,1842,Ex,Gd,0,5,1981,1987,0.0,1981.0,1,Fin,Attchd,Gd,1810,CBlock,68.0,857,0,72,1,Gd,50271,IR1,Y,TA,SBrkr,Y,2,Gable,32,Normal,Veenker,TA,1Story,0,RL
130000,5,1360,2,TA,572,384,1360,TA,TA,1,6,1955,1955,0.0,1962.0,1,Unf,Detchd,TA,384,CBlock,60.0,0,0,50,0,No,7134,Reg,Y,TA,SBrkr,Y,0,Gable,0,Normal,NAmes,TA,SLvl,3,RL
180500,6,1425,2,TA,576,1425,1425,TA,TA,2,7,1964,1964,272.0,1964.0,1,RFn,Attchd,Gd,490,CBlock,100.0,0,0,0,0,No,10175,IR1,Y,TA,SBrkr,Y,0,Gable,935,Normal,NAmes,TA,1Story,3,RL
172500,8,1739,2,Gd,480,970,983,Gd,Gd,2,7,1999,2000,456.0,1999.0,0,Fin,Attchd,Ex,649,PConc,24.0,115,756,0,1,No,2645,Reg,Y,TA,SBrkr,Y,1,Gable,321,Abnorml,Somerst,TA,2Story,3,FV
196500,7,1720,2,Gd,565,860,860,Gd,Gd,2,7,2004,2004,0.0,2004.0,0,RFn,Attchd,Ex,0,PConc,89.0,0,860,70,1,No,11645,IR1,Y,TA,SBrkr,Y,0,Gable,860,Normal,CollgCr,TA,2Story,3,RL
438780,10,2945,3,Ex,641,1410,1426,Ex,Gd,3,10,2006,2006,1031.0,2006.0,1,Fin,BuiltIn,Ex,0,PConc,66.0,192,1519,0,1,Gd,13682,IR2,Y,TA,SBrkr,Y,0,Hip,1410,Partial,StoneBr,TA,2Story,3,RL
124900,5,780,1,TA,352,780,780,TA,TA,1,4,1972,1972,0.0,1973.0,0,Unf,Detchd,Ex,632,CBlock,60.0,196,0,0,0,Av,7200,Reg,Y,TA,SBrkr,Y,0,Gable,148,Normal,CollgCr,TA,1Story,2,RL
158000,6,1158,2,TA,576,1158,1158,Gd,Gd,1,5,2004,2004,0.0,2006.0,0,Unf,Detchd,Ex,941,PConc,63.0,0,0,50,1,No,13072,Reg,Y,TA,SBrkr,Y,1,Gable,217,Partial,SawyerW,TA,1Story,3,RL
101000,5,1111,1,TA,288,530,581,TA,Fa,1,6,1920,1996,0.0,1935.0,0,Unf,Detchd,TA,0,BrkTil,60.0,0,530,0,0,No,7200,Reg,N,TA,SBrkr,N,0,Gable,530,Normal,IDOTRR,TA,2.5Unf,3,RM
202500,8,1370,2,Gd,484,1370,1370,Gd,Gd,2,6,2006,2006,178.0,2006.0,1,RFn,Attchd,Ex,24,PConc,44.0,120,0,49,0,Mn,6442,IR1,Y,TA,SBrkr,Y,0,Gable,1346,Normal,NridgHt,TA,1Story,2,RL
140000,7,1710,2,TA,480,576,902,TA,TA,2,9,1921,1950,0.0,1990.0,0,Unf,Detchd,Gd,0,BrkTil,50.0,12,808,11,0,No,10300,IR1,Y,TA,SBrkr,Y,0,Gable,576,Normal,OldTown,TA,2Story,3,RM
219500,7,2034,2,TA,645,1057,1057,Gd,Gd,2,8,1997,1998,573.0,1998.0,0,RFn,Attchd,Ex,739,PConc,,576,977,36,1,No,9375,Reg,Y,TA,SBrkr,Y,1,Gable,318,Normal,CollgCr,TA,2Story,3,RL
317000,8,2473,3,Gd,852,1143,1143,Ex,Gd,2,9,2004,2005,344.0,2004.0,1,RFn,BuiltIn,Ex,0,PConc,76.0,192,1330,151,1,Av,9591,Reg,Y,TA,SBrkr,Y,0,Gable,1143,Normal,NridgHt,TA,2Story,4,RL
180000,7,2207,2,TA,576,1947,2207,Gd,TA,2,7,1970,1989,287.0,1970.0,1,RFn,Attchd,TA,912,CBlock,,301,0,0,0,Gd,19900,Reg,Y,TA,SBrkr,Y,1,Gable,1035,Normal,NAmes,TA,1Story,3,RL
226000,7,1479,2,Gd,558,1453,1479,Gd,Gd,2,7,2003,2003,167.0,2003.0,0,RFn,Attchd,Ex,1013,PConc,72.0,144,0,29,0,Av,10665,IR1,Y,TA,SBrkr,Y,1,Gable,440,Normal,CollgCr,TA,1Story,3,RL
80000,4,747,1,TA,220,747,747,TA,TA,1,4,1945,1950,0.0,1945.0,0,Unf,Attchd,TA,0,CBlock,47.0,0,0,0,0,No,4608,Reg,Y,TA,SBrkr,Y,0,Gable,747,Normal,OldTown,TA,1Story,2,RM
225000,7,2287,2,Gd,667,1304,1304,TA,TA,2,7,1953,1953,0.0,1953.0,1,Fin,Attchd,TA,603,CBlock,81.0,0,983,21,0,No,15593,Reg,Y,TA,SBrkr,Y,0,Gable,701,Normal,ClearCr,TA,1.5Fin,3,RL
244000,7,2223,2,TA,516,2223,2223,Gd,TA,2,8,1973,1973,1115.0,1973.0,2,Fin,Attchd,Ex,1880,CBlock,95.0,300,0,0,0,Gd,13651,IR1,Y,TA,SBrkr,Y,1,Gable,343,Normal,NAmes,TA,1Story,3,RL
129500,4,845,2,TA,360,845,845,TA,TA,1,4,1982,2006,0.0,1987.0,0,Unf,Detchd,TA,565,CBlock,69.0,0,0,0,0,No,7599,Reg,Y,TA,SBrkr,Y,1,Gable,280,Normal,Mitchel,TA,1Story,2,RL
185000,7,1718,2,TA,427,832,885,Gd,TA,2,7,1998,1998,40.0,1998.0,1,Fin,Attchd,Gd,0,PConc,74.0,0,833,94,1,No,10141,IR1,Y,TA,SBrkr,Y,0,Gable,832,Normal,Gilbert,TA,2Story,3,RL
144900,5,1086,2,TA,490,1086,1086,TA,TA,1,6,1954,2003,104.0,1989.0,0,Unf,Attchd,Gd,320,CBlock,85.0,0,0,0,0,No,10200,Reg,Y,TA,SBrkr,Y,1,Gable,404,Normal,NAmes,TA,1Story,3,RL
107400,3,1605,1,Gd,379,840,840,Fa,TA,2,8,1915,1950,0.0,1915.0,0,Unf,Detchd,Gd,0,CBlock,60.0,0,765,0,0,No,5790,Reg,N,TA,SBrkr,Y,0,Gambrel,840,Normal,OldTown,TA,2Story,3,RM
91000,4,988,1,TA,297,462,526,Gd,TA,1,5,1973,1973,0.0,1973.0,0,Unf,BuiltIn,TA,462,CBlock,21.0,120,462,101,0,Gd,1596,Reg,Y,TA,SBrkr,Y,1,Gable,0,Normal,MeadowV,TA,SLvl,2,RM
135750,4,952,1,TA,283,952,952,TA,TA,1,4,1956,1956,0.0,1956.0,0,Unf,Detchd,Ex,228,CBlock,,0,0,0,0,No,8475,IR1,Y,TA,FuseA,Y,0,Gable,724,Normal,NAmes,TA,1Story,2,RL
127000,5,1285,1,TA,240,672,1072,TA,TA,1,6,1948,2001,0.0,1948.0,0,Unf,Detchd,TA,336,CBlock,50.0,0,213,0,0,No,8635,Reg,Y,TA,SBrkr,Y,1,Gable,295,Normal,BrkSide,TA,1.5Fin,2,RM
136500,4,1768,0,TA,0,1768,1768,TA,TA,2,8,1968,1968,0.0,,0,,,TA,0,CBlock,72.0,0,0,0,0,No,10778,Reg,N,,SBrkr,Y,0,Hip,1768,Normal,Sawyer,,1Story,4,RL
110000,5,1230,2,TA,440,440,682,TA,TA,1,5,1910,1981,0.0,1966.0,0,Unf,Detchd,Gd,0,PConc,60.0,74,548,0,1,No,10440,Reg,Y,TA,SBrkr,Y,0,Gable,440,Normal,OldTown,TA,2Story,2,RM
193500,6,2142,1,TA,509,896,1182,Gd,Gd,2,8,1968,1968,576.0,1968.0,1,Fin,Attchd,TA,448,CBlock,100.0,0,960,72,1,No,13000,Reg,Y,TA,SBrkr,Y,0,Gable,448,Normal,NAmes,TA,2Story,4,RL
153500,6,1337,2,TA,405,1237,1337,Ex,TA,2,5,1998,1998,443.0,1998.0,0,Fin,Attchd,Ex,1201,PConc,32.0,0,0,199,0,No,4500,Reg,Y,TA,SBrkr,Y,1,Hip,36,Normal,Mitchel,TA,1Story,2,RM
245000,8,1563,3,TA,758,1563,1563,Gd,Gd,2,6,2007,2007,468.0,2007.0,1,RFn,Attchd,Ex,33,PConc,78.0,144,0,99,0,No,10206,Reg,Y,TA,SBrkr,Y,0,Gable,1530,Normal,Somerst,TA,1Story,3,RL
126500,5,1065,2,TA,461,1065,1065,TA,TA,1,6,1960,1960,66.0,1974.0,0,Unf,Detchd,Gd,0,CBlock,80.0,74,0,0,1,No,8892,IR1,Y,TA,SBrkr,Y,0,Gable,1065,Normal,NAmes,TA,1Story,3,RL
168500,7,1474,2,TA,400,384,804,Gd,TA,2,7,1995,1996,22.0,1995.0,1,Fin,BuiltIn,Gd,0,PConc,,120,670,72,1,No,8530,IR1,Y,TA,SBrkr,Y,0,Gable,384,Normal,Gilbert,TA,SLvl,3,RL
260000,8,2417,2,Gd,462,1288,1301,Gd,Gd,2,9,1991,1992,284.0,1991.0,1,Unf,Attchd,Ex,0,CBlock,121.0,127,1116,82,1,No,16059,Reg,Y,TA,SBrkr,Y,0,Hip,1288,Normal,NoRidge,TA,2Story,4,RL
174000,6,1560,2,Gd,400,684,684,Gd,Gd,2,6,2005,2005,0.0,2005.0,1,Fin,BuiltIn,Ex,0,PConc,122.0,100,876,38,1,Av,11911,IR2,Y,TA,SBrkr,Y,0,Gable,684,Normal,Gilbert,TA,2Story,3,RL
164500,6,1224,2,Gd,528,612,612,Gd,Gd,2,4,2009,2009,76.0,2009.0,0,RFn,Detchd,Ex,0,PConc,40.0,0,612,234,1,Av,3951,Reg,Y,TA,SBrkr,Y,0,Gable,612,Partial,Somerst,TA,2Story,2,FV
85000,3,1526,0,Fa,0,1013,1013,TA,Fa,1,6,1915,1982,0.0,,0,,,TA,0,CBlock,105.0,0,0,0,0,No,8470,IR1,N,,SBrkr,N,0,Hip,1013,Abnorml,IDOTRR,,1.5Fin,2,C (all)
123600,4,990,0,TA,0,990,990,Gd,TA,1,5,1994,1995,0.0,,0,,,Ex,588,PConc,60.0,0,0,0,0,No,8070,Reg,Y,,SBrkr,Y,1,Gable,402,Normal,CollgCr,,1Story,3,RL
109900,4,1040,2,TA,420,0,1040,,TA,1,4,1950,1950,0.0,1950.0,0,Unf,Detchd,TA,0,Slab,60.0,0,0,29,0,,7200,Reg,Y,TA,FuseA,Y,0,Gable,0,Normal,NAmes,TA,1Story,2,RL
98600,5,1235,2,TA,480,1235,1235,TA,TA,1,6,1961,1961,203.0,1961.0,0,Unf,Attchd,TA,600,CBlock,85.0,0,0,0,0,No,8500,Reg,Y,TA,SBrkr,Y,0,Hip,635,Abnorml,NAmes,TA,1Story,2,RL
163500,5,964,2,TA,432,876,964,Gd,TA,1,5,1921,2006,0.0,1921.0,0,Unf,Detchd,Ex,713,BrkTil,80.0,0,0,0,0,No,13360,IR1,Y,TA,SBrkr,Y,1,Gable,163,Normal,Crawfor,TA,1Story,2,RL
133900,6,2291,2,TA,506,1214,1260,TA,TA,2,9,1910,1998,0.0,1900.0,1,Unf,Detchd,Ex,1046,BrkTil,60.0,0,1031,0,0,Mn,7200,Reg,N,TA,SBrkr,Y,0,Hip,168,Normal,OldTown,TA,2.5Unf,4,C (all)
204750,6,1786,2,TA,684,824,905,Gd,Gd,2,7,1997,1997,0.0,1997.0,0,RFn,Attchd,Ex,648,PConc,69.0,0,881,162,1,No,9337,IR1,Y,TA,SBrkr,Y,1,Gable,176,Normal,CollgCr,TA,2Story,3,RL
185000,6,1470,2,Ex,420,680,680,Gd,TA,2,6,1993,1993,68.0,1993.0,1,Fin,BuiltIn,Gd,310,PConc,,232,790,63,1,No,9765,IR2,Y,TA,SBrkr,Y,0,Gable,370,Normal,Gilbert,TA,2Story,3,RL
214000,7,1588,2,Gd,472,1588,1588,Gd,Gd,2,6,1999,1999,183.0,1999.0,0,RFn,Attchd,Ex,1162,PConc,78.0,158,0,29,0,Av,10264,IR1,Y,TA,SBrkr,Y,0,Gable,426,Normal,CollgCr,TA,1Story,3,RL
94750,4,960,1,TA,432,960,960,TA,TA,1,6,1965,1965,48.0,1965.0,0,Fin,Attchd,TA,520,CBlock,73.0,120,0,0,0,No,10921,Reg,Y,TA,FuseF,P,1,Hip,440,Normal,Edwards,TA,1Story,3,RL
83000,5,835,1,TA,366,458,835,TA,TA,1,5,1920,1950,0.0,1920.0,0,Unf,Basment,Fa,108,BrkTil,85.0,0,0,0,0,No,10625,Reg,N,TA,SBrkr,Y,0,Gable,350,Abnorml,Edwards,Fa,1Story,2,RL
128950,4,1225,0,TA,0,950,1225,TA,TA,1,6,1959,1959,0.0,,0,,,Fa,569,CBlock,77.0,352,0,0,1,No,9320,IR1,Y,,SBrkr,Y,1,Gable,381,Normal,NAmes,,1Story,3,RL
