SalePrice,OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,TotalBsmtSF,1stFlrSF,BsmtQual,KitchenQual,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,MasVnrArea,GarageYrBlt,Fireplaces,GarageFinish,GarageType,HeatingQC,BsmtFinSF1,Foundation,LotFrontage,WoodDeckSF,2ndFlrSF
149350,5,1228,1,TA,271,1228,1228,TA,Gd,1,6,1966,2006,0.0,1966.0,0,Unf,Attchd,Gd,0,CBlock,,0,0
179900,8,1234,2,Gd,484,1234,1234,Ex,Gd,2,7,2007,2007,0.0,2007.0,0,RFn,Attchd,Ex,0,PConc,85.0,0,0
165500,5,1700,2,TA,447,1398,1700,TA,Gd,1,6,1959,1959,0.0,1959.0,1,RFn,Attchd,Gd,1018,CBlock,70.0,0,0
277500,9,1561,2,Ex,556,1561,1561,Ex,Ex,2,6,2005,2005,246.0,2005.0,1,Fin,Attchd,Ex,1153,PConc,60.0,203,0
309000,8,2452,3,Gd,691,1117,1132,Ex,Gd,3,9,2004,2005,132.0,2004.0,1,Fin,BuiltIn,Ex,0,PConc,108.0,113,1320
145000,5,1097,2,TA,672,1097,1097,Gd,TA,1,6,1994,1995,0.0,1995.0,0,Unf,Attchd,Ex,0,PConc,112.0,392,0
153000,5,1297,2,TA,498,1297,1297,TA,TA,1,5,1954,1990,650.0,1954.0,1,Fin,Attchd,Gd,1213,CBlock,74.0,0,0
109000,5,1057,1,TA,246,1057,1057,TA,Gd,1,5,1953,2007,0.0,1953.0,0,Unf,Detchd,TA,731,CBlock,68.0,0,0
82000,4,1152,0,TA,0,0,1152,,Fa,2,6,1955,1955,0.0,,0,,,TA,0,PConc,65.0,0,0
160000,6,1324,2,TA,440,1088,1324,TA,TA,2,6,1965,1965,101.0,1965.0,1,RFn,Attchd,Ex,643,CBlock,84.0,0,0
170000,5,1328,1,TA,308,1350,1328,TA,TA,1,5,1959,1959,0.0,1959.0,2,RFn,Attchd,Gd,967,CBlock,115.0,0,0
144000,5,884,2,TA,504,840,884,Gd,Gd,1,5,1983,1983,0.0,1983.0,0,RFn,Attchd,Gd,747,CBlock,,240,0
130250,5,938,1,TA,308,938,938,Gd,TA,1,5,1975,1980,0.0,1977.0,0,Unf,Detchd,TA,280,CBlock,,145,0
141000,5,1150,1,TA,300,1150,1150,TA,TA,1,6,1959,1959,0.0,1959.0,0,RFn,Attchd,Ex,179,CBlock,70.0,0,0
319900,9,1752,2,Ex,576,1752,1752,Ex,Ex,2,6,2005,2005,412.0,2005.0,1,RFn,Attchd,Ex,456,PConc,61.0,196,0
239686,7,2149,2,Gd,670,1434,1518,Ex,Gd,1,6,2003,2003,0.0,2003.0,1,RFn,Attchd,Ex,1351,PConc,48.0,168,631
249700,8,1656,3,Gd,826,1656,1656,Gd,Gd,2,7,2006,2006,0.0,2006.0,0,RFn,Attchd,Ex,24,PConc,84.0,0,0
113000,4,1452,0,TA,0,736,736,TA,TA,2,8,1920,2008,0.0,,0,,,Gd,0,BrkTil,33.0,0,716
127000,5,955,1,TA,386,955,955,TA,TA,1,6,1966,1966,0.0,1966.0,0,Unf,Attchd,Ex,763,CBlock,66.0,0,0
177000,6,1470,2,TA,388,794,794,Gd,TA,2,6,1997,1997,0.0,1997.0,0,Fin,Attchd,Gd,182,PConc,,0,676
114500,6,1176,2,TA,528,816,816,TA,TA,1,6,1934,1950,0.0,1985.0,1,Unf,Detchd,TA,0,PConc,52.0,112,0
110000,5,816,2,Fa,516,816,816,Gd,TA,1,5,1963,1963,0.0,1963.0,0,Unf,CarPort,TA,104,CBlock,110.0,106,0
385000,9,1842,3,Gd,894,1842,1842,Ex,Gd,0,5,1981,1987,0.0,1981.0,1,Fin,Attchd,Gd,1810,CBlock,68.0,857,0
130000,5,1360,2,TA,572,384,1360,TA,TA,1,6,1955,1955,0.0,1962.0,1,Unf,Detchd,TA,384,CBlock,60.0,0,0
180500,6,1425,2,TA,576,1425,1425,TA,TA,2,7,1964,1964,272.0,1964.0,1,RFn,Attchd,Gd,490,CBlock,100.0,0,0
172500,8,1739,2,Gd,480,970,983,Gd,Gd,2,7,1999,2000,456.0,1999.0,0,Fin,Attchd,Ex,649,PConc,24.0,115,756
196500,7,1720,2,Gd,565,860,860,Gd,Gd,2,7,2004,2004,0.0,2004.0,0,RFn,Attchd,Ex,0,PConc,89.0,0,860
438780,10,2945,3,Ex,641,1410,1426,Ex,Gd,3,10,2006,2006,1031.0,2006.0,1,Fin,BuiltIn,Ex,0,PConc,66.0,192,1519
124900,5,780,1,TA,352,780,780,TA,TA,1,4,1972,1972,0.0,1973.0,0,Unf,Detchd,Ex,632,CBlock,60.0,196,0
158000,6,1158,2,TA,576,1158,1158,Gd,Gd,1,5,2004,2004,0.0,2006.0,0,Unf,Detchd,Ex,941,PConc,63.0,0,0
101000,5,1111,1,TA,288,530,581,TA,Fa,1,6,1920,1996,0.0,1935.0,0,Unf,Detchd,TA,0,BrkTil,60.0,0,530
202500,8,1370,2,Gd,484,1370,1370,Gd,Gd,2,6,2006,2006,178.0,2006.0,1,RFn,Attchd,Ex,24,PConc,44.0,120,0
140000,7,1710,2,TA,480,576,902,TA,TA,2,9,1921,1950,0.0,1990.0,0,Unf,Detchd,Gd,0,BrkTil,50.0,12,808
219500,7,2034,2,TA,645,1057,1057,Gd,Gd,2,8,1997,1998,573.0,1998.0,0,RFn,Attchd,Ex,739,PConc,,576,977
317000,8,2473,3,Gd,852,1143,1143,Ex,Gd,2,9,2004,2005,344.0,2004.0,1,RFn,BuiltIn,Ex,0,PConc,76.0,192,1330
180000,7,2207,2,TA,576,1947,2207,Gd,TA,2,7,1970,1989,287.0,1970.0,1,RFn,Attchd,TA,912,CBlock,,301,0
226000,7,1479,2,Gd,558,1453,1479,Gd,Gd,2,7,2003,2003,167.0,2003.0,0,RFn,Attchd,Ex,1013,PConc,72.0,144,0
80000,4,747,1,TA,220,747,747,TA,TA,1,4,1945,1950,0.0,1945.0,0,Unf,Attchd,TA,0,CBlock,47.0,0,0
225000,7,2287,2,Gd,667,1304,1304,TA,TA,2,7,1953,1953,0.0,1953.0,1,Fin,Attchd,TA,603,CBlock,81.0,0,983
244000,7,2223,2,TA,516,2223,2223,Gd,TA,2,8,1973,1973,1115.0,1973.0,2,Fin,Attchd,Ex,1880,CBlock,95.0,300,0
129500,4,845,2,TA,360,845,845,TA,TA,1,4,1982,2006,0.0,1987.0,0,Unf,Detchd,TA,565,CBlock,69.0,0,0
185000,7,1718,2,TA,427,832,885,Gd,TA,2,7,1998,1998,40.0,1998.0,1,Fin,Attchd,Gd,0,PConc,74.0,0,833
144900,5,1086,2,TA,490,1086,1086,TA,TA,1,6,1954,2003,104.0,1989.0,0,Unf,Attchd,Gd,320,CBlock,85.0,0,0
107400,3,1605,1,Gd,379,840,840,Fa,TA,2,8,1915,1950,0.0,1915.0,0,Unf,Detchd,Gd,0,CBlock,60.0,0,765
91000,4,988,1,TA,297,462,526,Gd,TA,1,5,1973,1973,0.0,1973.0,0,Unf,BuiltIn,TA,462,CBlock,21.0,120,462
135750,4,952,1,TA,283,952,952,TA,TA,1,4,1956,1956,0.0,1956.0,0,Unf,Detchd,Ex,228,CBlock,,0,0
127000,5,1285,1,TA,240,672,1072,TA,TA,1,6,1948,2001,0.0,1948.0,0,Unf,Detchd,TA,336,CBlock,50.0,0,213
136500,4,1768,0,TA,0,1768,1768,TA,TA,2,8,1968,1968,0.0,,0,,,TA,0,CBlock,72.0,0,0
110000,5,1230,2,TA,440,440,682,TA,TA,1,5,1910,1981,0.0,1966.0,0,Unf,Detchd,Gd,0,PConc,60.0,74,548
193500,6,2142,1,TA,509,896,1182,Gd,Gd,2,8,1968,1968,576.0,1968.0,1,Fin,Attchd,TA,448,CBlock,100.0,0,960
153500,6,1337,2,TA,405,1237,1337,Ex,TA,2,5,1998,1998,443.0,1998.0,0,Fin,Attchd,Ex,1201,PConc,32.0,0,0
245000,8,1563,3,TA,758,1563,1563,Gd,Gd,2,6,2007,2007,468.0,2007.0,1,RFn,Attchd,Ex,33,PConc,78.0,144,0
126500,5,1065,2,TA,461,1065,1065,TA,TA,1,6,1960,1960,66.0,1974.0,0,Unf,Detchd,Gd,0,CBlock,80.0,74,0
168500,7,1474,2,TA,400,384,804,Gd,TA,2,7,1995,1996,22.0,1995.0,1,Fin,BuiltIn,Gd,0,PConc,,120,670
260000,8,2417,2,Gd,462,1288,1301,Gd,Gd,2,9,1991,1992,284.0,1991.0,1,Unf,Attchd,Ex,0,CBlock,121.0,127,1116
174000,6,1560,2,Gd,400,684,684,Gd,Gd,2,6,2005,2005,0.0,2005.0,1,Fin,BuiltIn,Ex,0,PConc,122.0,100,876
164500,6,1224,2,Gd,528,612,612,Gd,Gd,2,4,2009,2009,76.0,2009.0,0,RFn,Detchd,Ex,0,PConc,40.0,0,612
85000,3,1526,0,Fa,0,1013,1013,TA,Fa,1,6,1915,1982,0.0,,0,,,TA,0,CBlock,105.0,0,0
123600,4,990,0,TA,0,990,990,Gd,TA,1,5,1994,1995,0.0,,0,,,Ex,588,PConc,60.0,0,0
109900,4,1040,2,TA,420,0,1040,,TA,1,4,1950,1950,0.0,1950.0,0,Unf,Detchd,TA,0,Slab,60.0,0,0
98600,5,1235,2,TA,480,1235,1235,TA,TA,1,6,1961,1961,203.0,1961.0,0,Unf,Attchd,TA,600,CBlock,85.0,0,0
163500,5,964,2,TA,432,876,964,Gd,TA,1,5,1921,2006,0.0,1921.0,0,Unf,Detchd,Ex,713,BrkTil,80.0,0,0
133900,6,2291,2,TA,506,1214,1260,TA,TA,2,9,1910,1998,0.0,1900.0,1,Unf,Detchd,Ex,1046,BrkTil,60.0,0,1031
204750,6,1786,2,TA,684,824,905,Gd,Gd,2,7,1997,1997,0.0,1997.0,0,RFn,Attchd,Ex,648,PConc,69.0,0,881
185000,6,1470,2,Ex,420,680,680,Gd,TA,2,6,1993,1993,68.0,1993.0,1,Fin,BuiltIn,Gd,310,PConc,,232,790
214000,7,1588,2,Gd,472,1588,1588,Gd,Gd,2,6,1999,1999,183.0,1999.0,0,RFn,Attchd,Ex,1162,PConc,78.0,158,0
94750,4,960,1,TA,432,960,960,TA,TA,1,6,1965,1965,48.0,1965.0,0,Fin,Attchd,TA,520,CBlock,73.0,120,0
83000,5,835,1,TA,366,458,835,TA,TA,1,5,1920,1950,0.0,1920.0,0,Unf,Basment,Fa,108,BrkTil,85.0,0,0
128950,4,1225,0,TA,0,950,1225,TA,TA,1,6,1959,1959,0.0,,0,,,Fa,569,CBlock,77.0,352,0
205000,6,1610,2,TA,480,1610,1610,TA,Gd,2,6,1977,2001,28.0,1977.0,2,RFn,Attchd,Gd,1200,PConc,,168,0
178000,6,1732,2,Gd,476,741,977,Gd,Gd,2,7,1985,1985,336.0,1985.0,1,Fin,Attchd,TA,0,CBlock,77.0,192,755
118964,5,1535,2,TA,410,0,1535,,TA,2,8,1979,1979,0.0,1979.0,0,Unf,Attchd,TA,0,Slab,64.0,0,0
198900,7,1226,3,TA,740,1226,1226,Gd,Gd,2,6,2009,2009,0.0,2009.0,0,RFn,Attchd,Ex,0,PConc,94.0,0,0
169500,7,1818,1,TA,240,1040,1226,TA,TA,1,7,1931,1950,600.0,1951.0,2,Unf,Detchd,Ex,224,PConc,,0,592
250000,8,1992,2,Gd,648,1053,1053,Ex,Gd,2,9,2003,2004,768.0,2003.0,1,RFn,Attchd,Ex,0,PConc,75.0,140,939
100000,4,1047,1,TA,273,641,1047,Fa,TA,1,6,1885,1995,0.0,1954.0,0,Unf,Detchd,Gd,0,BrkTil,60.0,0,0
115000,5,789,1,TA,250,789,789,TA,TA,1,5,1948,1950,0.0,1948.0,0,Unf,Detchd,Ex,104,CBlock,50.0,0,0
115000,5,1517,0,TA,0,793,997,TA,Fa,2,7,1919,2005,0.0,,0,,,TA,0,CBlock,85.0,0,520
190000,6,1844,2,TA,546,1844,1844,Gd,TA,2,7,1977,1977,480.0,1977.0,1,RFn,Attchd,Ex,705,CBlock,105.0,0,0
136900,6,1855,1,TA,325,994,1216,TA,TA,2,7,1954,1972,0.0,1954.0,0,Unf,Attchd,Gd,444,CBlock,75.0,182,639
180000,7,1430,2,TA,400,384,774,Gd,TA,2,7,2000,2000,0.0,2000.0,1,Fin,BuiltIn,Ex,250,PConc,,180,656
383970,7,2696,3,Gd,792,1264,1282,Ex,Ex,2,10,2007,2007,220.0,2007.0,1,Fin,BuiltIn,Ex,984,PConc,77.0,120,1414
217000,6,2259,2,TA,450,1809,2259,Gd,Gd,2,7,1953,1953,184.0,1953.0,2,Unf,Basment,TA,35,CBlock,,166,0
259500,6,2320,1,TA,180,1028,1436,TA,Gd,2,9,1945,2002,0.0,1945.0,1,Unf,Detchd,Ex,774,CBlock,61.0,224,884
176000,6,1458,2,TA,440,729,729,Gd,TA,2,5,1999,1999,1129.0,1999.0,1,Unf,Detchd,Gd,419,PConc,34.0,0,729
139000,5,1092,1,TA,288,1092,1092,TA,TA,1,6,1962,1962,116.0,1962.0,1,Unf,Attchd,TA,170,CBlock,,0,0
155000,5,1125,2,TA,430,1125,1125,Gd,TA,1,5,2006,2007,0.0,2007.0,0,Unf,Attchd,Gd,0,PConc,74.0,80,0
320000,7,3222,3,TA,594,1673,1699,Gd,Gd,3,11,1990,1990,0.0,1990.0,2,Unf,Attchd,Gd,1470,PConc,90.0,367,1523
163990,6,1456,2,Gd,390,728,728,Gd,Gd,2,8,2005,2006,0.0,2005.0,1,Fin,Attchd,Ex,0,PConc,65.0,0,728
180000,6,988,2,TA,540,938,988,TA,TA,1,4,1969,1969,0.0,1969.0,2,Unf,Attchd,Ex,938,CBlock,,0,0
100000,4,1123,1,TA,264,732,772,TA,TA,1,4,1939,1950,0.0,1979.0,0,Unf,Detchd,Gd,0,PConc,50.0,0,351
136000,6,1080,1,TA,288,1080,1080,TA,TA,1,5,1958,1958,135.0,1958.0,0,Unf,Attchd,Gd,570,CBlock,75.0,0,0
153900,6,1199,2,Gd,530,1199,1199,Gd,Gd,2,5,1993,1993,0.0,1993.0,0,RFn,Attchd,Ex,300,PConc,55.0,0,0
181000,6,1586,2,TA,435,1362,1586,Gd,TA,2,7,1979,1998,0.0,1979.0,1,Unf,Attchd,TA,0,CBlock,48.0,192,0
84500,6,754,0,TA,0,520,520,TA,TA,1,5,1935,1982,0.0,,0,,,Gd,490,CBlock,60.0,53,0
128000,6,958,2,TA,440,1078,958,Gd,TA,2,5,1976,1976,0.0,1977.0,1,RFn,Attchd,TA,120,CBlock,,0,0
87000,5,840,0,TA,0,672,840,TA,TA,1,5,1930,1950,0.0,,1,,,Ex,116,BrkTil,55.0,0,0
155000,6,1348,2,TA,453,660,660,TA,TA,1,6,1966,1966,266.0,1966.0,1,RFn,Attchd,TA,512,CBlock,69.0,188,688
150000,5,1053,2,TA,750,1008,1053,TA,Ex,1,6,1958,1991,85.0,1998.0,0,RFn,2Types,TA,567,CBlock,69.0,0,0
226000,7,2157,2,TA,487,924,1216,TA,Gd,2,8,1966,1966,309.0,1966.0,2,Fin,Attchd,Ex,445,CBlock,88.0,105,941
244000,6,2054,2,Gd,390,992,1022,Gd,Gd,2,7,2000,2000,40.0,2000.0,1,RFn,BuiltIn,Ex,695,PConc,,24,1032
150750,5,1327,2,TA,624,1063,1327,TA,Gd,1,7,1959,2002,0.0,1974.0,0,Unf,Detchd,Gd,405,CBlock,75.0,0,0
220000,8,1296,2,Gd,471,1267,1296,Ex,Gd,2,6,2001,2002,136.0,2001.0,0,Fin,Attchd,Ex,1005,PConc,,192,0
180000,5,1721,2,TA,440,1461,1721,TA,TA,2,7,1968,1993,0.0,1968.0,1,RFn,Attchd,Gd,570,CBlock,78.0,0,0
174000,7,1682,2,TA,530,1304,1682,TA,TA,2,7,1970,1970,288.0,1970.0,1,Unf,Attchd,Gd,0,PConc,80.0,98,0
143000,5,1214,1,TA,318,1214,1214,TA,TA,2,5,1967,1967,196.0,1967.0,1,RFn,Attchd,TA,695,CBlock,,0,0
171000,7,1959,3,TA,766,1907,1959,TA,TA,3,9,1988,1989,70.0,1989.0,0,Unf,2Types,Gd,0,CBlock,82.0,0,0
230000,8,1852,3,Gd,660,1004,1004,Gd,Gd,2,7,1999,2000,320.0,1999.0,2,Fin,Attchd,Ex,668,PConc,73.0,224,848
231500,6,1764,2,TA,470,928,928,Gd,Gd,2,7,1997,1997,0.0,1997.0,0,RFn,Attchd,Ex,821,PConc,65.0,276,836
115000,4,864,0,TA,0,864,864,TA,TA,1,5,1971,1971,0.0,,1,,,TA,432,CBlock,70.0,0,0
260000,7,1734,2,Gd,660,1734,1734,Gd,Gd,2,7,2005,2005,0.0,2005.0,0,Fin,Attchd,Ex,1300,PConc,78.0,160,0
166000,5,1385,2,TA,720,910,910,TA,TA,2,6,1952,1952,0.0,2000.0,0,Unf,Detchd,Fa,507,CBlock,71.0,0,475
204000,7,1501,2,Gd,577,1490,1501,Gd,Gd,2,6,1999,1999,183.0,1999.0,0,RFn,Attchd,Ex,679,PConc,78.0,144,0
125000,5,1728,2,TA,504,1728,1728,TA,TA,2,10,1963,1963,336.0,1963.0,0,Unf,Detchd,TA,1332,CBlock,70.0,0,0
130000,6,1709,2,Gd,380,970,970,Gd,Gd,2,7,2004,2006,50.0,2004.0,0,Unf,Detchd,Ex,0,PConc,24.0,0,739
105000,5,875,1,TA,180,715,875,TA,TA,1,5,1931,1993,0.0,1931.0,0,Unf,Detchd,TA,209,BrkTil,51.0,48,0
222500,7,2035,2,Gd,434,884,884,Gd,Gd,2,8,2001,2001,180.0,2001.0,1,Fin,BuiltIn,Ex,0,PConc,,144,1151
141000,7,1080,0,TA,0,1080,1080,Gd,Gd,1,6,2004,2005,120.0,,0,,,Ex,680,PConc,63.0,0,0
115000,5,1344,1,TA,240,896,896,Gd,TA,1,7,1936,1950,0.0,1936.0,0,Unf,Detchd,Gd,0,BrkTil,,200,448
122000,5,969,2,TA,440,969,969,TA,TA,1,5,1975,1975,0.0,1975.0,0,Unf,Attchd,TA,716,CBlock,120.0,0,0
372402,8,1710,3,Gd,866,1710,1710,Ex,Gd,2,6,2007,2008,436.0,2007.0,1,RFn,Attchd,Ex,1400,PConc,107.0,0,0
190000,6,1993,2,TA,495,825,1097,TA,TA,2,8,1971,1971,252.0,1971.0,1,RFn,Attchd,Gd,416,CBlock,,0,896
235000,6,1252,2,TA,564,1602,1252,Gd,TA,1,4,1960,1975,0.0,1960.0,1,RFn,Attchd,Gd,429,CBlock,,409,0
125000,6,1200,1,TA,312,1200,1200,TA,TA,1,7,1923,1950,0.0,1923.0,0,Unf,Detchd,TA,0,BrkTil,84.0,0,0
79000,6,1096,0,TA,0,572,572,TA,TA,1,5,1924,1950,0.0,,0,,,Fa,0,BrkTil,60.0,0,524
109500,5,1040,2,TA,625,0,1040,,TA,1,5,1950,1950,0.0,1950.0,0,Unf,Detchd,TA,0,CBlock,60.0,0,0
269500,8,1968,3,Gd,680,774,774,Ex,Ex,2,8,2009,2010,84.0,2009.0,1,Fin,BuiltIn,Ex,0,PConc,92.0,0,1194
254900,7,1947,2,Gd,678,991,991,Gd,Gd,2,8,2004,2005,0.0,2004.0,1,RFn,Attchd,Ex,222,PConc,100.0,0,956
320000,7,2462,2,Gd,576,1392,1392,Gd,Gd,2,9,2005,2006,456.0,2006.0,1,RFn,Attchd,Ex,57,PConc,134.0,239,1070
162500,6,1232,2,TA,516,1232,1232,Gd,TA,2,6,1984,1984,0.0,1984.0,0,Unf,Attchd,TA,660,PConc,,0,0
412500,9,2668,3,Gd,726,1572,1572,Ex,Ex,2,10,2003,2004,664.0,2003.0,2,Fin,BuiltIn,Ex,1016,PConc,110.0,400,1096
220000,7,1541,2,Gd,532,1541,1541,Gd,Gd,2,7,2005,2005,226.0,2005.0,1,RFn,Attchd,Ex,1201,PConc,95.0,0,0
103200,4,882,0,TA,0,882,882,TA,TA,1,4,1956,1956,0.0,,0,,,Ex,0,CBlock,55.0,0,0
152000,6,1616,1,TA,216,1149,1149,TA,Gd,2,5,1926,2004,0.0,1926.0,0,Unf,Detchd,Gd,370,BrkTil,40.0,0,467
127500,5,1355,0,TA,0,644,808,TA,TA,2,6,1940,1999,0.0,,0,,,Gd,351,BrkTil,62.0,140,547
190000,5,1867,1,Gd,303,1617,1867,TA,TA,1,7,1955,1993,0.0,1955.0,3,Fin,Attchd,Ex,379,CBlock,,476,0
325624,8,2161,3,Gd,789,1582,1610,Ex,Ex,1,8,2007,2007,300.0,2007.0,1,Fin,Attchd,Ex,1288,PConc,86.0,178,551
183500,7,1720,2,Gd,440,840,840,Gd,Gd,2,7,2004,2004,0.0,2004.0,1,Fin,Attchd,Ex,0,PConc,62.0,100,880
228000,8,1707,2,Gd,511,1686,1707,Gd,TA,2,6,1981,1981,653.0,1981.0,1,RFn,Attchd,TA,0,CBlock,,574,0
128500,5,1382,2,TA,660,720,854,TA,TA,1,7,1941,1950,0.0,1991.0,0,Unf,Detchd,TA,360,CBlock,,237,0
215000,6,1656,2,TA,528,1080,1656,TA,TA,1,7,1960,1960,112.0,1960.0,2,Fin,Attchd,Fa,639,CBlock,141.0,210,0
239000,7,1767,2,Gd,504,1064,1064,Gd,Gd,2,5,1987,1987,0.0,1987.0,1,RFn,Attchd,Gd,495,PConc,44.0,441,703
163000,6,1362,2,TA,504,1362,1362,TA,TA,1,6,1961,1961,491.0,1961.0,1,Unf,Attchd,TA,288,CBlock,80.0,0,0
184000,6,1651,2,TA,616,1606,1651,Gd,TA,2,7,1986,1986,132.0,1986.0,1,Fin,Attchd,TA,1398,CBlock,47.0,192,0
243000,6,2158,2,TA,576,1202,2158,TA,Gd,2,7,1950,2001,0.0,1950.0,1,Unf,Attchd,TA,477,CBlock,84.0,0,0
211000,6,2060,2,Gd,521,1151,1164,Gd,TA,2,8,1988,1989,268.0,1988.0,1,Unf,Attchd,TA,831,PConc,97.0,0,896
172500,5,1920,2,Gd,451,1052,1252,TA,Gd,2,8,1958,1958,0.0,1958.0,1,Unf,Attchd,Ex,57,CBlock,,0,668
501837,9,2234,3,Ex,1166,2216,2234,Ex,Ex,2,9,2008,2009,748.0,2009.0,1,Fin,Attchd,Ex,1904,PConc,63.0,0,0
100000,5,968,2,Gd,480,968,968,TA,TA,1,5,1923,2006,0.0,1935.0,0,Unf,Detchd,TA,0,CBlock,60.0,0,0
177000,6,1525,2,Gd,440,756,769,Gd,Gd,2,5,2000,2000,456.0,2000.0,1,Unf,Detchd,Ex,436,PConc,,0,756
200100,7,1802,1,TA,216,793,901,Fa,TA,1,9,1920,1950,0.0,1920.0,1,Unf,Detchd,Gd,352,BrkTil,54.0,0,901
