OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,TotalBsmtSF,BsmtQual,1stFlrSF,KitchenQual,FullBath,TotRmsAbvGrd,YearBuilt,GarageFinish,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,HeatingQC,BsmtFinSF1,Foundation,GarageType,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,BsmtExposure,HalfBath,LotArea,LotShape,CentralAir,Electrical,PavedDrive,BsmtFullBath
5,1040,1,TA,384,1040,TA,1040,TA,1,5,1965,Unf,1965,1965.0,0.0,0,Ex,906,CBlock,Detchd,70.0,0,0,0,No,0,11200,Reg,Y,SBrkr,Y,1
9,2324,3,Ex,736,1175,Ex,1182,Ex,3,11,2005,Fin,2006,2005.0,286.0,2,Ex,998,PConc,BuiltIn,85.0,147,1142,21,No,0,11924,IR1,Y,SBrkr,Y,1
5,912,1,TA,352,912,TA,912,TA,1,4,1962,Unf,1962,1962.0,0.0,0,TA,737,CBlock,Detchd,,140,0,0,No,0,12968,IR2,Y,SBrkr,Y,1
7,1494,3,Gd,840,1494,Gd,1494,Gd,2,7,2006,RFn,2007,2006.0,306.0,1,Ex,0,PConc,Attchd,91.0,160,0,33,Av,0,10652,IR1,Y,SBrkr,Y,0
6,1253,1,TA,352,1253,TA,1253,TA,1,5,1960,RFn,1960,1960.0,212.0,1,TA,733,CBlock,Attchd,,0,0,213,No,1,10920,IR1,Y,SBrkr,Y,1
7,854,2,TA,576,832,TA,854,TA,1,5,1929,Unf,2001,1991.0,0.0,0,Ex,0,BrkTil,Detchd,51.0,48,0,112,No,0,6120,Reg,Y,FuseA,Y,0
6,1004,2,TA,480,1004,TA,1004,TA,1,5,1970,Fin,1970,1970.0,180.0,1,Ex,578,CBlock,Attchd,,0,0,0,No,0,11241,IR1,Y,SBrkr,Y,1
4,1296,2,TA,516,0,,1296,TA,2,6,1967,Unf,1967,1967.0,0.0,0,TA,0,Slab,CarPort,72.0,0,0,0,,0,10791,Reg,Y,SBrkr,Y,0
5,1114,2,TA,576,1114,TA,1114,Gd,1,6,2004,Unf,2004,2004.0,0.0,0,Ex,646,PConc,Detchd,66.0,0,0,102,No,1,13695,Reg,Y,SBrkr,Y,1
5,1339,1,TA,294,1029,TA,1339,TA,1,6,1958,Unf,1965,1958.0,0.0,0,TA,504,CBlock,Attchd,70.0,0,0,0,No,0,7560,Reg,Y,SBrkr,Y,0
8,2376,3,Gd,853,1158,Ex,1158,Gd,3,9,2005,RFn,2006,2005.0,380.0,1,Ex,0,PConc,BuiltIn,101.0,240,1218,154,Av,1,14215,IR1,Y,SBrkr,Y,0
7,1108,1,TA,280,637,TA,1108,Gd,1,6,1930,Unf,1950,1930.0,0.0,1,Ex,0,PConc,Attchd,57.0,0,0,0,No,0,7449,Reg,Y,FuseF,N,0
8,1795,2,Gd,534,1777,Gd,1795,Gd,2,7,2002,RFn,2002,2002.0,281.0,1,Ex,0,PConc,Attchd,75.0,171,0,159,No,0,9742,Reg,Y,SBrkr,Y,0
5,1060,2,TA,572,1040,Gd,1060,TA,1,6,1976,Unf,1976,1976.0,0.0,1,TA,840,PConc,Attchd,44.0,100,0,110,No,0,4224,Reg,Y,SBrkr,Y,1
5,1060,1,TA,270,1060,TA,1060,Gd,1,6,1968,Unf,2001,1968.0,0.0,1,Ex,188,CBlock,Attchd,,406,0,90,Mn,0,8246,IR1,Y,SBrkr,Y,1
8,1600,3,Gd,890,1566,Gd,1600,Gd,2,7,2007,RFn,2007,2007.0,640.0,1,Ex,0,PConc,Attchd,110.0,0,0,56,No,0,14230,Reg,Y,SBrkr,Y,0
5,900,2,TA,576,900,TA,900,Gd,1,5,1951,Unf,2000,2005.0,0.0,0,TA,234,CBlock,Detchd,60.0,222,0,32,Mn,0,7200,Reg,Y,SBrkr,Y,0
8,1704,3,Gd,772,1704,Ex,1704,Gd,2,7,2007,RFn,2008,2008.0,200.0,1,Ex,1218,PConc,Attchd,98.0,0,0,50,No,0,11478,Reg,Y,SBrkr,Y,1
5,1600,1,TA,319,1484,TA,1600,TA,1,6,1957,RFn,1997,1957.0,0.0,2,TA,1277,CBlock,Attchd,47.0,288,0,258,Gd,0,16321,IR1,Y,SBrkr,Y,1
4,520,1,TA,240,520,TA,520,Fa,1,4,1927,Unf,1950,1920.0,0.0,0,Fa,0,BrkTil,Detchd,60.0,49,0,0,No,0,6324,IR1,N,SBrkr,Y,0
4,1317,1,TA,250,649,TA,649,TA,1,6,1920,Unf,1950,1920.0,0.0,0,TA,0,BrkTil,Detchd,50.0,0,668,54,No,0,8500,Reg,N,SBrkr,N,0
5,1228,1,TA,271,1228,TA,1228,Gd,1,6,1966,Unf,2006,1966.0,0.0,0,Gd,0,CBlock,Attchd,,0,0,65,No,1,8544,IR1,Y,SBrkr,Y,0
8,1234,2,Gd,484,1234,Ex,1234,Gd,2,7,2007,RFn,2007,2007.0,0.0,0,Ex,0,PConc,Attchd,85.0,0,0,30,Av,0,11049,Reg,Y,SBrkr,Y,0
5,1700,2,TA,447,1398,TA,1700,Gd,1,6,1959,RFn,1959,1959.0,0.0,1,Gd,1018,CBlock,Attchd,70.0,0,0,38,No,1,10552,IR1,Y,SBrkr,Y,0
9,1561,2,Ex,556,1561,Ex,1561,Ex,2,6,2005,Fin,2005,2005.0,246.0,1,Ex,1153,PConc,Attchd,60.0,203,0,47,No,0,7313,Reg,Y,SBrkr,Y,1
8,2452,3,Gd,691,1117,Ex,1132,Gd,3,9,2004,Fin,2005,2004.0,132.0,1,Ex,0,PConc,BuiltIn,108.0,113,1320,32,Av,1,13418,Reg,Y,SBrkr,Y,0
5,1097,2,TA,672,1097,Gd,1097,TA,1,6,1994,Unf,1995,1995.0,0.0,0,Ex,0,PConc,Attchd,112.0,392,0,64,No,1,10859,Reg,Y,SBrkr,Y,0
5,1297,2,TA,498,1297,TA,1297,TA,1,5,1954,Fin,1990,1954.0,650.0,1,Gd,1213,CBlock,Attchd,74.0,0,0,0,No,0,8532,Reg,Y,SBrkr,Y,0
5,1057,1,TA,246,1057,TA,1057,Gd,1,5,1953,Unf,2007,1953.0,0.0,0,TA,731,CBlock,Detchd,68.0,0,0,52,No,0,7922,Reg,Y,SBrkr,Y,1
4,1152,0,TA,0,0,,1152,Fa,2,6,1955,,1955,,0.0,0,TA,0,PConc,,65.0,0,0,0,,0,6040,Reg,N,FuseP,N,0
6,1324,2,TA,440,1088,TA,1324,TA,2,6,1965,RFn,1965,1965.0,101.0,1,Ex,643,CBlock,Attchd,84.0,0,0,138,No,0,8658,Reg,Y,SBrkr,Y,0
5,1328,1,TA,308,1350,TA,1328,TA,1,5,1959,RFn,1959,1959.0,0.0,2,Gd,967,CBlock,Attchd,115.0,0,0,104,Gd,1,16905,Reg,Y,SBrkr,P,0
5,884,2,TA,504,840,Gd,884,Gd,1,5,1983,RFn,1983,1983.0,0.0,0,Gd,747,CBlock,Attchd,,240,0,0,Av,0,9180,IR1,Y,SBrkr,Y,1
5,938,1,TA,308,938,Gd,938,TA,1,5,1975,Unf,1980,1977.0,0.0,0,TA,280,CBlock,Detchd,,145,0,0,Av,0,9200,IR1,Y,SBrkr,Y,1
5,1150,1,TA,300,1150,TA,1150,TA,1,6,1959,RFn,1959,1959.0,0.0,0,Ex,179,CBlock,Attchd,70.0,0,0,0,No,0,7945,Reg,Y,FuseA,Y,1
9,1752,2,Ex,576,1752,Ex,1752,Ex,2,6,2005,RFn,2005,2005.0,412.0,1,Ex,456,PConc,Attchd,61.0,196,0,82,No,0,7658,Reg,Y,SBrkr,Y,1
7,2149,2,Gd,670,1434,Ex,1518,Gd,1,6,2003,RFn,2003,2003.0,0.0,1,Ex,1351,PConc,Attchd,48.0,168,631,43,No,1,12822,IR1,Y,SBrkr,Y,1
8,1656,3,Gd,826,1656,Gd,1656,Gd,2,7,2006,RFn,2006,2006.0,0.0,0,Ex,24,PConc,Attchd,84.0,0,0,146,Av,0,11096,Reg,Y,SBrkr,Y,0
4,1452,0,TA,0,736,TA,736,TA,2,8,1920,,2008,,0.0,0,Gd,0,BrkTil,,33.0,0,716,0,No,0,4456,Reg,Y,SBrkr,N,0
5,955,1,TA,386,955,TA,955,TA,1,6,1966,Unf,1966,1966.0,0.0,0,Ex,763,CBlock,Attchd,66.0,0,0,0,No,0,7742,Reg,Y,SBrkr,Y,1
6,1470,2,TA,388,794,Gd,794,TA,2,6,1997,Fin,1997,1997.0,0.0,0,Gd,182,PConc,Attchd,,0,676,75,Av,0,13869,IR2,Y,SBrkr,Y,0
6,1176,2,TA,528,816,TA,816,TA,1,6,1934,Unf,1950,1985.0,0.0,1,TA,0,PConc,Detchd,52.0,112,0,0,No,0,6240,Reg,Y,SBrkr,Y,0
5,816,2,Fa,516,816,Gd,816,TA,1,5,1963,Unf,1963,1963.0,0.0,0,TA,104,CBlock,CarPort,110.0,106,0,0,Gd,0,8472,IR2,N,SBrkr,Y,1
9,1842,3,Gd,894,1842,Ex,1842,Gd,0,5,1981,Fin,1987,1981.0,0.0,1,Gd,1810,CBlock,Attchd,68.0,857,0,72,Gd,1,50271,IR1,Y,SBrkr,Y,2
5,1360,2,TA,572,384,TA,1360,TA,1,6,1955,Unf,1955,1962.0,0.0,1,TA,384,CBlock,Detchd,60.0,0,0,50,No,0,7134,Reg,Y,SBrkr,Y,0
6,1425,2,TA,576,1425,TA,1425,TA,2,7,1964,RFn,1964,1964.0,272.0,1,Gd,490,CBlock,Attchd,100.0,0,0,0,No,0,10175,IR1,Y,SBrkr,Y,0
8,1739,2,Gd,480,970,Gd,983,Gd,2,7,1999,Fin,2000,1999.0,456.0,0,Ex,649,PConc,Attchd,24.0,115,756,0,No,1,2645,Reg,Y,SBrkr,Y,1
7,1720,2,Gd,565,860,Gd,860,Gd,2,7,2004,RFn,2004,2004.0,0.0,0,Ex,0,PConc,Attchd,89.0,0,860,70,No,1,11645,IR1,Y,SBrkr,Y,0
10,2945,3,Ex,641,1410,Ex,1426,Gd,3,10,2006,Fin,2006,2006.0,1031.0,1,Ex,0,PConc,BuiltIn,66.0,192,1519,0,Gd,1,13682,IR2,Y,SBrkr,Y,0
5,780,1,TA,352,780,TA,780,TA,1,4,1972,Unf,1972,1973.0,0.0,0,Ex,632,CBlock,Detchd,60.0,196,0,0,Av,0,7200,Reg,Y,SBrkr,Y,0
6,1158,2,TA,576,1158,Gd,1158,Gd,1,5,2004,Unf,2004,2006.0,0.0,0,Ex,941,PConc,Detchd,63.0,0,0,50,No,1,13072,Reg,Y,SBrkr,Y,1
5,1111,1,TA,288,530,TA,581,Fa,1,6,1920,Unf,1996,1935.0,0.0,0,TA,0,BrkTil,Detchd,60.0,0,530,0,No,0,7200,Reg,N,SBrkr,N,0
8,1370,2,Gd,484,1370,Gd,1370,Gd,2,6,2006,RFn,2006,2006.0,178.0,1,Ex,24,PConc,Attchd,44.0,120,0,49,Mn,0,6442,IR1,Y,SBrkr,Y,0
7,1710,2,TA,480,576,TA,902,TA,2,9,1921,Unf,1950,1990.0,0.0,0,Gd,0,BrkTil,Detchd,50.0,12,808,11,No,0,10300,IR1,Y,SBrkr,Y,0
7,2034,2,TA,645,1057,Gd,1057,Gd,2,8,1997,RFn,1998,1998.0,573.0,0,Ex,739,PConc,Attchd,,576,977,36,No,1,9375,Reg,Y,SBrkr,Y,1
8,2473,3,Gd,852,1143,Ex,1143,Gd,2,9,2004,RFn,2005,2004.0,344.0,1,Ex,0,PConc,BuiltIn,76.0,192,1330,151,Av,1,9591,Reg,Y,SBrkr,Y,0
7,2207,2,TA,576,1947,Gd,2207,TA,2,7,1970,RFn,1989,1970.0,287.0,1,TA,912,CBlock,Attchd,,301,0,0,Gd,0,19900,Reg,Y,SBrkr,Y,1
7,1479,2,Gd,558,1453,Gd,1479,Gd,2,7,2003,RFn,2003,2003.0,167.0,0,Ex,1013,PConc,Attchd,72.0,144,0,29,Av,0,10665,IR1,Y,SBrkr,Y,1
4,747,1,TA,220,747,TA,747,TA,1,4,1945,Unf,1950,1945.0,0.0,0,TA,0,CBlock,Attchd,47.0,0,0,0,No,0,4608,Reg,Y,SBrkr,Y,0
7,2287,2,Gd,667,1304,TA,1304,TA,2,7,1953,Fin,1953,1953.0,0.0,1,TA,603,CBlock,Attchd,81.0,0,983,21,No,0,15593,Reg,Y,SBrkr,Y,0
7,2223,2,TA,516,2223,Gd,2223,TA,2,8,1973,Fin,1973,1973.0,1115.0,2,Ex,1880,CBlock,Attchd,95.0,300,0,0,Gd,0,13651,IR1,Y,SBrkr,Y,1
4,845,2,TA,360,845,TA,845,TA,1,4,1982,Unf,2006,1987.0,0.0,0,TA,565,CBlock,Detchd,69.0,0,0,0,No,0,7599,Reg,Y,SBrkr,Y,1
7,1718,2,TA,427,832,Gd,885,TA,2,7,1998,Fin,1998,1998.0,40.0,1,Gd,0,PConc,Attchd,74.0,0,833,94,No,1,10141,IR1,Y,SBrkr,Y,0
5,1086,2,TA,490,1086,TA,1086,TA,1,6,1954,Unf,2003,1989.0,104.0,0,Gd,320,CBlock,Attchd,85.0,0,0,0,No,0,10200,Reg,Y,SBrkr,Y,1
3,1605,1,Gd,379,840,Fa,840,TA,2,8,1915,Unf,1950,1915.0,0.0,0,Gd,0,CBlock,Detchd,60.0,0,765,0,No,0,5790,Reg,N,SBrkr,Y,0
4,988,1,TA,297,462,Gd,526,TA,1,5,1973,Unf,1973,1973.0,0.0,0,TA,462,CBlock,BuiltIn,21.0,120,462,101,Gd,0,1596,Reg,Y,SBrkr,Y,1
4,952,1,TA,283,952,TA,952,TA,1,4,1956,Unf,1956,1956.0,0.0,0,Ex,228,CBlock,Detchd,,0,0,0,No,0,8475,IR1,Y,FuseA,Y,0
5,1285,1,TA,240,672,TA,1072,TA,1,6,1948,Unf,2001,1948.0,0.0,0,TA,336,CBlock,Detchd,50.0,0,213,0,No,0,8635,Reg,Y,SBrkr,Y,1
4,1768,0,TA,0,1768,TA,1768,TA,2,8,1968,,1968,,0.0,0,TA,0,CBlock,,72.0,0,0,0,No,0,10778,Reg,N,SBrkr,Y,0
5,1230,2,TA,440,440,TA,682,TA,1,5,1910,Unf,1981,1966.0,0.0,0,Gd,0,PConc,Detchd,60.0,74,548,0,No,1,10440,Reg,Y,SBrkr,Y,0
6,2142,1,TA,509,896,Gd,1182,Gd,2,8,1968,Fin,1968,1968.0,576.0,1,TA,448,CBlock,Attchd,100.0,0,960,72,No,1,13000,Reg,Y,SBrkr,Y,0
6,1337,2,TA,405,1237,Ex,1337,TA,2,5,1998,Fin,1998,1998.0,443.0,0,Ex,1201,PConc,Attchd,32.0,0,0,199,No,0,4500,Reg,Y,SBrkr,Y,1
8,1563,3,TA,758,1563,Gd,1563,Gd,2,6,2007,RFn,2007,2007.0,468.0,1,Ex,33,PConc,Attchd,78.0,144,0,99,No,0,10206,Reg,Y,SBrkr,Y,0
5,1065,2,TA,461,1065,TA,1065,TA,1,6,1960,Unf,1960,1974.0,66.0,0,Gd,0,CBlock,Detchd,80.0,74,0,0,No,1,8892,IR1,Y,SBrkr,Y,0
7,1474,2,TA,400,384,Gd,804,TA,2,7,1995,Fin,1996,1995.0,22.0,1,Gd,0,PConc,BuiltIn,,120,670,72,No,1,8530,IR1,Y,SBrkr,Y,0
8,2417,2,Gd,462,1288,Gd,1301,Gd,2,9,1991,Unf,1992,1991.0,284.0,1,Ex,0,CBlock,Attchd,121.0,127,1116,82,No,1,16059,Reg,Y,SBrkr,Y,0
6,1560,2,Gd,400,684,Gd,684,Gd,2,6,2005,Fin,2005,2005.0,0.0,1,Ex,0,PConc,BuiltIn,122.0,100,876,38,Av,1,11911,IR2,Y,SBrkr,Y,0
6,1224,2,Gd,528,612,Gd,612,Gd,2,4,2009,RFn,2009,2009.0,76.0,0,Ex,0,PConc,Detchd,40.0,0,612,234,Av,1,3951,Reg,Y,SBrkr,Y,0
3,1526,0,Fa,0,1013,TA,1013,Fa,1,6,1915,,1982,,0.0,0,TA,0,CBlock,,105.0,0,0,0,No,0,8470,IR1,N,SBrkr,N,0
4,990,0,TA,0,990,Gd,990,TA,1,5,1994,,1995,,0.0,0,Ex,588,PConc,,60.0,0,0,0,No,0,8070,Reg,Y,SBrkr,Y,1
4,1040,2,TA,420,0,,1040,TA,1,4,1950,Unf,1950,1950.0,0.0,0,TA,0,Slab,Detchd,60.0,0,0,29,,0,7200,Reg,Y,FuseA,Y,0
5,1235,2,TA,480,1235,TA,1235,TA,1,6,1961,Unf,1961,1961.0,203.0,0,TA,600,CBlock,Attchd,85.0,0,0,0,No,0,8500,Reg,Y,SBrkr,Y,0
5,964,2,TA,432,876,Gd,964,TA,1,5,1921,Unf,2006,1921.0,0.0,0,Ex,713,BrkTil,Detchd,80.0,0,0,0,No,0,13360,IR1,Y,SBrkr,Y,1
6,2291,2,TA,506,1214,TA,1260,TA,2,9,1910,Unf,1998,1900.0,0.0,1,Ex,1046,BrkTil,Detchd,60.0,0,1031,0,Mn,0,7200,Reg,N,SBrkr,Y,0
6,1786,2,TA,684,824,Gd,905,Gd,2,7,1997,RFn,1997,1997.0,0.0,0,Ex,648,PConc,Attchd,69.0,0,881,162,No,1,9337,IR1,Y,SBrkr,Y,1
6,1470,2,Ex,420,680,Gd,680,TA,2,6,1993,Fin,1993,1993.0,68.0,1,Gd,310,PConc,BuiltIn,,232,790,63,No,1,9765,IR2,Y,SBrkr,Y,0
7,1588,2,Gd,472,1588,Gd,1588,Gd,2,6,1999,RFn,1999,1999.0,183.0,0,Ex,1162,PConc,Attchd,78.0,158,0,29,Av,0,10264,IR1,Y,SBrkr,Y,0
4,960,1,TA,432,960,TA,960,TA,1,6,1965,Fin,1965,1965.0,48.0,0,TA,520,CBlock,Attchd,73.0,120,0,0,No,0,10921,Reg,Y,FuseF,P,1
5,835,1,TA,366,458,TA,835,TA,1,5,1920,Unf,1950,1920.0,0.0,0,Fa,108,BrkTil,Basment,85.0,0,0,0,No,0,10625,Reg,N,SBrkr,Y,0
4,1225,0,TA,0,950,TA,1225,TA,1,6,1959,,1959,,0.0,0,Fa,569,CBlock,,77.0,352,0,0,No,1,9320,IR1,Y,SBrkr,Y,1
6,1610,2,TA,480,1610,TA,1610,Gd,2,6,1977,RFn,2001,1977.0,28.0,2,Gd,1200,PConc,Attchd,,168,0,68,Mn,0,10603,IR1,Y,SBrkr,Y,1
6,1732,2,Gd,476,741,Gd,977,Gd,2,7,1985,Fin,1985,1985.0,336.0,1,TA,0,CBlock,Attchd,77.0,192,755,46,No,1,9206,Reg,Y,SBrkr,Y,0
5,1535,2,TA,410,0,,1535,TA,2,8,1979,Unf,1979,1979.0,0.0,0,TA,0,Slab,Attchd,64.0,0,0,0,,0,7018,Reg,Y,SBrkr,Y,0
7,1226,3,TA,740,1226,Gd,1226,Gd,2,6,2009,RFn,2009,2009.0,0.0,0,Ex,0,PConc,Attchd,94.0,0,0,36,No,0,10402,IR1,Y,SBrkr,Y,0
7,1818,1,TA,240,1040,TA,1226,TA,1,7,1931,Unf,1950,1951.0,600.0,2,Ex,224,PConc,Detchd,,0,592,0,No,1,7758,Reg,Y,FuseF,Y,0
8,1992,2,Gd,648,1053,Ex,1053,Gd,2,9,2003,RFn,2004,2003.0,768.0,1,Ex,0,PConc,Attchd,75.0,140,939,45,No,1,9375,Reg,Y,SBrkr,Y,0
4,1047,1,TA,273,641,Fa,1047,TA,1,6,1885,Unf,1995,1954.0,0.0,0,Gd,0,BrkTil,Detchd,60.0,0,0,0,No,0,10800,Reg,Y,SBrkr,N,0
5,789,1,TA,250,789,TA,789,TA,1,5,1948,Unf,1950,1948.0,0.0,0,Ex,104,CBlock,Detchd,50.0,0,0,0,No,0,6000,Reg,Y,SBrkr,Y,0
5,1517,0,TA,0,793,TA,997,Fa,2,7,1919,,2005,,0.0,0,TA,0,CBlock,,85.0,0,520,0,No,0,8500,Reg,N,FuseF,N,0
6,1844,2,TA,546,1844,Gd,1844,TA,2,7,1977,RFn,1977,1977.0,480.0,1,Ex,705,CBlock,Attchd,105.0,0,0,122,No,0,11751,IR1,Y,SBrkr,Y,0
6,1855,1,TA,325,994,TA,1216,TA,2,7,1954,Unf,1972,1954.0,0.0,0,Gd,444,CBlock,Attchd,75.0,182,639,0,No,0,9525,Reg,Y,SBrkr,Y,0
7,1430,2,TA,400,384,Gd,774,TA,2,7,2000,Fin,2000,2000.0,0.0,1,Ex,250,PConc,BuiltIn,,180,656,0,No,1,7750,IR1,Y,SBrkr,Y,0
7,2696,3,Gd,792,1264,Ex,1282,Ex,2,10,2007,Fin,2007,2007.0,220.0,1,Ex,984,PConc,BuiltIn,77.0,120,1414,184,Av,1,9965,Reg,Y,SBrkr,Y,1
6,2259,2,TA,450,1809,Gd,2259,Gd,2,7,1953,Unf,1953,1953.0,184.0,2,TA,35,CBlock,Basment,,166,0,120,Mn,0,21000,Reg,Y,SBrkr,Y,1
6,2320,1,TA,180,1028,TA,1436,Gd,2,9,1945,Unf,2002,1945.0,0.0,1,Ex,774,CBlock,Detchd,61.0,224,884,0,No,1,7259,IR1,Y,SBrkr,Y,1
6,1458,2,TA,440,729,Gd,729,TA,2,5,1999,Unf,1999,1999.0,1129.0,1,Gd,419,PConc,Detchd,34.0,0,729,32,No,1,3230,Reg,Y,SBrkr,Y,0
5,1092,1,TA,288,1092,TA,1092,TA,1,6,1962,Unf,1962,1962.0,116.0,1,TA,170,CBlock,Attchd,,0,0,20,No,0,11616,Reg,Y,SBrkr,Y,0
5,1125,2,TA,430,1125,Gd,1125,TA,1,5,2006,Unf,2007,2007.0,0.0,0,Gd,0,PConc,Attchd,74.0,80,0,64,No,1,8536,Reg,Y,SBrkr,Y,0
7,3222,3,TA,594,1673,Gd,1699,Gd,3,11,1990,Unf,1990,1990.0,0.0,2,Gd,1470,PConc,Attchd,90.0,367,1523,0,Mn,0,12376,Reg,Y,SBrkr,Y,1
6,1456,2,Gd,390,728,Gd,728,Gd,2,8,2005,Fin,2006,2005.0,0.0,1,Ex,0,PConc,Attchd,65.0,0,728,24,No,1,8461,Reg,Y,SBrkr,Y,0
6,988,2,TA,540,938,TA,988,TA,1,4,1969,Unf,1969,1969.0,0.0,2,Ex,938,CBlock,Attchd,,0,0,130,Gd,0,21453,IR1,Y,SBrkr,Y,1
4,1123,1,TA,264,732,TA,772,TA,1,4,1939,Unf,1950,1979.0,0.0,0,Gd,0,PConc,Detchd,50.0,0,351,0,No,0,6060,Reg,Y,SBrkr,P,0
6,1080,1,TA,288,1080,TA,1080,TA,1,5,1958,Unf,1958,1958.0,135.0,0,Gd,570,CBlock,Attchd,75.0,0,0,0,No,0,9464,Reg,Y,SBrkr,Y,0
6,1199,2,Gd,530,1199,Gd,1199,Gd,2,5,1993,RFn,1993,1993.0,0.0,0,Ex,300,PConc,Attchd,55.0,0,0,63,No,0,7892,Reg,Y,SBrkr,Y,0
6,1586,2,TA,435,1362,Gd,1586,TA,2,7,1979,Unf,1998,1979.0,0.0,1,TA,0,CBlock,Attchd,48.0,192,0,0,No,0,17043,IR1,Y,SBrkr,Y,0
6,754,0,TA,0,520,TA,520,TA,1,5,1935,,1982,,0.0,0,Gd,490,CBlock,,60.0,53,0,0,Av,0,6780,Reg,N,SBrkr,N,1
6,958,2,TA,440,1078,Gd,958,TA,2,5,1976,RFn,1976,1977.0,0.0,1,TA,120,CBlock,Attchd,,0,0,205,No,0,4928,IR1,Y,SBrkr,Y,0
5,840,0,TA,0,672,TA,840,TA,1,5,1930,,1950,,0.0,1,Ex,116,BrkTil,,55.0,0,0,0,No,0,4388,IR1,Y,SBrkr,N,0
6,1348,2,TA,453,660,TA,660,TA,1,6,1966,RFn,1966,1966.0,266.0,1,TA,512,CBlock,Attchd,69.0,188,688,108,No,1,7590,Reg,Y,SBrkr,Y,0
5,1053,2,TA,750,1008,TA,1053,Ex,1,6,1958,RFn,1991,1998.0,85.0,0,TA,567,CBlock,2Types,69.0,0,0,80,No,1,8973,Reg,Y,FuseA,Y,0
7,2157,2,TA,487,924,TA,1216,Gd,2,8,1966,Fin,1966,1966.0,309.0,2,Ex,445,CBlock,Attchd,88.0,105,941,66,No,1,14200,Reg,Y,SBrkr,Y,0
6,2054,2,Gd,390,992,Gd,1022,Gd,2,7,2000,RFn,2000,2000.0,40.0,1,Ex,695,PConc,BuiltIn,,24,1032,48,No,1,12224,IR1,Y,SBrkr,Y,1
5,1327,2,TA,624,1063,TA,1327,Gd,1,7,1959,Unf,2002,1974.0,0.0,0,Gd,405,CBlock,Detchd,75.0,0,0,0,No,0,7388,Reg,Y,SBrkr,Y,1
8,1296,2,Gd,471,1267,Ex,1296,Gd,2,6,2001,Fin,2002,2001.0,136.0,0,Ex,1005,PConc,Attchd,,192,0,25,No,0,6853,IR1,Y,SBrkr,Y,1
5,1721,2,TA,440,1461,TA,1721,TA,2,7,1968,RFn,1993,1968.0,0.0,1,Gd,570,CBlock,Attchd,78.0,0,0,96,No,1,10335,IR1,Y,SBrkr,Y,0
7,1682,2,TA,530,1304,TA,1682,TA,2,7,1970,Unf,1970,1970.0,288.0,1,Gd,0,PConc,Attchd,80.0,98,0,0,No,0,10400,Reg,Y,SBrkr,Y,0
